Subject,Median_Accuracy_Current_Method,N_Folds,N_Model_Observations,Calculation_Method,Note
sub-19,0.8366,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-20,0.8366,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-21,0.8366,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-22,0.5253,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-23,0.5253,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-24,0.5253,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-25,0.5995,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-26,0.5995,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-27,0.5995,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-28,0.6832,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-29,0.6832,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-30,0.6832,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-31,0.6555,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-32,0.6555,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-33,0.6555,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-34,0.6955,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-35,0.6955,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-36,0.6955,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-37,0.7090,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-38,0.6889,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-39,0.6889,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-40,0.6714,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-41,0.6955,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-42,0.6955,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-43,0.6324,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-44,0.6098,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-45,0.6098,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-46,0.6756,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-47,0.6756,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-48,0.6756,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-49,0.6640,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-50,0.6640,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-51,0.6640,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-52,0.7805,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-53,0.7805,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-54,0.7805,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-55,0.8366,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-56,0.8366,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-57,0.8366,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-58,0.5253,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-59,0.5253,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-60,0.5253,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-61,0.5995,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-62,0.5995,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-63,0.5995,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-64,0.6832,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-65,0.6832,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
