Subject,Median_Accuracy_Current_Method,N_Folds,N_Model_Observations,Calculation_Method,Note
sub-27,0.4673,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-28,0.6229,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-29,0.6229,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-30,0.6229,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-31,0.5279,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-32,0.5279,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-33,0.5279,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-34,0.5270,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-35,0.5270,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-36,0.5270,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-37,0.5461,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-38,0.5212,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-39,0.5212,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-40,0.5279,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-41,0.5195,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-42,0.5195,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-43,0.5137,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-44,0.5080,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-45,0.5080,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-46,0.5883,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-47,0.5883,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-48,0.5883,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-49,0.5747,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-50,0.5747,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-51,0.5747,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-52,0.5317,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-53,0.5317,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-54,0.5317,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-55,0.5921,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-56,0.5921,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-57,0.5921,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-58,0.4998,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-59,0.4998,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-60,0.4998,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-61,0.4673,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-62,0.4673,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-63,0.4673,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-64,0.6229,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-65,0.6229,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
